name,protein,fats,carbs,calories,category
Йогурт Растишка с мякотью вишни,2.9,1.6,15.5,89,30
Йогурт Растишка с мякотью клубники,2.9,1.6,15.4,88,30
Йогурт Растишка с мякотью персика и абрикоса,2.9,1.6,15.6,88,30
Йогурт Растишка с печеньем,2.9,1.6,15.2,86,30
Йогурт Растишка с черникой,2.9,1.6,15.6,88,30
Йогуртное пюре Gerber с грушей и бананом,1.0,3.0,11.0,90,30
Йогуртное пюре Gerber с малиной и черникой,0.8,2.2,12.0,70,30
Каша 3 злака Nestle молочная с яблоком и грушей,14.0,10.0,67.5,416,30
Каша 5 злаков Nestle молочная с яблоком и бананом,14.0,10.0,68.0,418,30
Каша 7 злаков Малютка безмолочная,10.9,2.2,73.2,374,30
Кефир Агуша 3.2%,2.7,3.2,4.0,56,30
Кисель ФрутоНяня из клюквы,0.0,0.0,11.0,44,30
Кисель ФрутоНяня из малины,0.0,0.0,11.5,46,30
Кисломолочный напиток Агуша Я Сам! Иммунити,2.0,3.4,8.3,72,30
Коктейль молочный Агуша Я Сам! кукуруза с бананом,2.5,3.0,10.5,85,30
Коктейль молочный Агуша Я Сам! рис-груша-яблоко,2.6,3.0,9.4,75,30
Коктейль молочный Агуша Я Сам! с гречкой,2.5,3.0,8.0,75,30
Коктейль молочный Здрайверы Клубника 3.2%,2.8,3.2,7.5,70,30
Коктейль молочный Здрайверы Крем-Брюле 3.0%,2.8,2.0,8.5,63,30
Коктейль молочный Здрайверы Шоколадный 3.0%,2.9,3.0,10.0,81,30
Кукурузная каша Малютка безмолочная,7.0,1.0,84.5,375,30
Кукурузная кашка Heinz низкоаллергенная без молока,7.8,3.0,80.4,380,30
Кукурузная кашка Heinz тыква чернослив морковочка молочная,12.9,6.4,71.2,394,30
Многозерновая кашка 5 злаков Heinz без молока,6.9,1.8,83.0,374,30
Многозерновая кашка Heinz Любопышки банан клубника йогуртная,13.0,10.9,65.0,410,30
Многозерновая кашка Heinz Любопышки слива абрикос черника молочная,13.0,11.0,66.0,414,30
Молоко Агуша с витаминами А и С 3.2%,2.9,3.2,4.7,59,30
Молоко Агуша с лактулозой 2.5%,3.0,3.2,4.5,59,30
Молоко Агуша Я Сам! Иммунити 2.5%,2.9,2.5,4.8,53,30
Молоко Тёма детское 3.2%,3.0,3.2,4.7,60,30
Молоко Тёма детское обогащенное 3.2%,2.9,3.2,4.7,59,30
Морс Агуша ягодный сбор,0.0,0.0,10.0,42,30
Морс ФрутоНяня из клюквы и малины,0.0,0.0,10.0,42,30
Морс ФрутоНяня из ягод,0.0,0.0,11.4,46,30
Мультизлаковая каша Малютка молочная с печеньем,13.3,11.7,66.5,431,30
Мультизлаковая каша Малютка молочная с фруктами и овсянкой,12.2,14.2,67.1,445,30
Мультизлаковая кашка ФрутоНяня молочная жидкая,2.1,2.0,9.9,64,30
Нектар Бабушкино Лукошко Яблоко Груша,0.0,0.0,12.0,48,30
Нектар ФрутоНяня из бананов с мякотью,0.0,0.0,12.0,48,30
Нектар ФрутоНяня из яблок и вишни с мякотью,0.0,0.0,12.0,48,30
Нектар ФрутоНяня Яблоко-слива с мякотью,0.0,0.0,12.0,48,30
Овсяная каша Hipp с абрикосами и яблоками,0.5,0.2,13.0,59,30
Овсяная каша Nestle безмолочная,10.0,6.0,72.0,382,30
Овсяная каша Nestle молочная с грушей и бананом,14.0,10.0,65.0,406,30
Овсяная каша Nestle молочная с яблоком и абрикосом,14.0,10.0,65.0,406,30
Овсяная каша Малютка молочная с фруктами,12.7,14.0,65.8,440,30
Овсяная каша ФрутоНяня безмолочная с яблоками и ягодами,1.2,0.0,15.0,64,30
Овсяная кашка Heinz с молоком и бананом,12.0,8.7,69.1,403,30
Овсяная кашка ФрутоНяня молочная жидкая с бананом,2.1,2.0,9.2,62,30
Овсяно-пшеничная каша Малютка безмолочная с яблоком,9.2,3.6,80.3,390,30
